ID,day,panelistCount,flavorScore,attribute
3869,D14,6,9,No Criticism
3869,D17,6,6.3,Rancid
3869,D21,6,4.8,High Acid
3869,DI,6,9.4,No Criticism
3871,D10,5,8.4,Not clearly defined
3871,D14,6,8.8,Lacks Freshness
3871,D17,5,9.1,No Criticism
3871,D21,5,8.6,Lacks Freshness
3871,DI,6,9.5,No Criticism
3872,D10,5,9.4,No Criticism
3872,D14,6,9,No Criticism
3872,D17,5,8.8,Lacks Freshness
3872,D21,5,8.7,Not clearly defined
3872,DI,6,9.4,No Criticism
3873,D10,5,8.6,Not clearly defined
3873,D14,6,8.7,Lacks Freshness
3873,D17,5,8.8,Not clearly defined
3873,D21,5,8.6,Lacks Freshness
3873,DI,6,8.7,Not clearly defined
3876,D10,5,9.5,No Criticism
3876,D14,6,9.1,No Criticism
3876,D17,5,8,Lacks Freshness
3876,D21,5,4.2,High Acid
3876,DI,6,8.8,Cooked
3877,D10,5,9.3,No Criticism
3877,D14,6,8.9,Not clearly defined
3877,D17,5,8.8,Not clearly defined
3877,D21,5,6.3,Lacks Freshness
3877,DI,6,9.5,No Criticism
3878,D10,5,8.8,Not clearly defined
3878,D14,6,7.9,Not clearly defined
3878,D17,5,8.6,Not clearly defined
3878,D21,5,6.2,Lacks Freshness
3878,DI,6,9.2,No Criticism
3879,D10,5,8.9,Not clearly defined
3879,D14,6,8.1,Not clearly defined
3879,D17,5,8.9,Not clearly defined
3879,D21,5,7.2,"High Acid, Lacks Freshness"
3879,DI,6,9.4,No Criticism
3883,D10,4,9.4,No Criticism
3883,D14,6,8.8,Not clearly defined
3883,D17,6,8.2,Not clearly defined
3883,D21,6,7.8,Lacks Freshness
3883,DI,6,9.3,No Criticism
3884,D10,4,9.3,No Criticism
3884,D14,6,8.8,Not clearly defined
3884,D17,6,8.9,Not clearly defined
3884,D21,6,8,Lacks Freshness
3884,DI,6,9.5,No Criticism
3885,D10,4,9.2,No Criticism
3885,D14,6,9,No Criticism
3885,D17,6,8.6,"Cooked, Lacks Freshness"
3885,D21,6,6.8,Lacks Freshness
3885,DI,6,9.3,No Criticism
3886,D10,4,9.2,No Criticism
3886,D14,6,9,No Criticism
3886,D17,6,9,No Criticism
3886,D21,6,7.7,Not clearly defined
3886,DI,6,9.4,No Criticism
3888,D10,4,5.8,"Light Oxidized, Lipid Oxidized"
3888,D14,6,6.5,"Light Oxidized, Milk Carton"
3888,D17,6,5.8,"Light Oxidized, Milk Carton"
3888,DI,6,8,Milk Carton
3890,D10,5,6.8,Lipid Oxidized
3890,D14,6,5.8,"Lipid Oxidized, Milk Carton"
3890,DI,6,8.2,Cooked
3892,D10,6,8.8,Lacks Freshness
3892,D14,6,8,Lacks Freshness
3892,DI,6,8.3,Not clearly defined
3893,D10,6,9.1,No Criticism
3893,D14,6,8.9,Not clearly defined
3893,DI,6,8.5,Not clearly defined
3894,D10,6,4.3,Malty
3894,DI,6,8.5,Cooked
3899,D10,6,4.7,Fruity Fermented
3899,DI,6,8.4,Cooked
3900,D10,6,8.8,Cooked
3900,D14,6,2.4,"Bitter, Coagulated, Rancid"
3900,DI,6,8.2,Cooked
3901,D10,6,9.4,No Criticism
3901,D14,6,8.8,Not clearly defined
3901,DI,6,8.2,Cooked
3902,D10,6,9.1,No Criticism
3902,D14,6,2.2,"Bitter, Coagulated"
3902,DI,6,8.1,Light Oxidized
3903,D14,6,6.4,"Lacks Freshness, Other: Band-aid"
3903,DI,5,8.8,Not clearly defined
3904,D14,6,3.2,"Coagulated, Fruity Fermented"
3904,DI,5,9.1,Cooked
3906,D10,6,8.8,Not clearly defined
3906,D14,6,0,"Coagulated, Cooked"
3906,DI,6,7.5,Light Oxidized
3907,D10,6,9.2,No Criticism
3907,D14,6,6.5,"Lacks Freshness, Unclean"
3907,D17,6,1,"Coagulated, Rancid"
3907,DI,6,8.1,Light Oxidized
3908,D10,6,7.5,Light Oxidized
3908,D14,6,8.8,"Cooked, Lacks Freshness"
3908,D17,6,8,Lacks Freshness
3908,D21,6,5.4,"Lacks Freshness, Rancid"
3908,DI,6,7.6,Light Oxidized
3909,D10,6,7.8,Not clearly defined
3909,D14,6,8.4,Lacks Freshness
3909,D17,6,7.9,Lacks Freshness
3909,D21,6,5.5,"Feed, High Acid, Rancid"
3909,DI,6,7.2,Light Oxidized
3910,D14,6,0,"Coagulated, High Acid"
3910,DI,5,9.5,No Criticism
3920,D10,6,7.5,Light Oxidized
3920,D14,6,7.5,Light Oxidized
3920,D17,6,7.8,Light Oxidized
3920,D21,6,6.7,Light Oxidized
3920,DI,6,6.7,"Light Oxidized, Lipid Oxidized"
3922,D10,6,4.2,"Fruity Fermented, Rancid"
3922,DI,6,6.8,"Cooked, Light Oxidized, Lipid Oxidized"
3923,D10,6,8.3,Not clearly defined
3923,D14,6,8.2,"Cooked, Lacks Freshness"
3923,D17,6,5.6,"Coagulated, Cooked"
3923,DI,6,6.7,"Light Oxidized, Malty"
3937,D10,6,9.4,No Criticism
3937,D14,6,9.3,No Criticism
3937,D21,6,7.9,Lacks Freshness
3937,DI,6,9.6,No Criticism
3938,D10,6,9.4,No Criticism
3938,D14,6,9.4,No Criticism
3938,D17,6,9.4,No Criticism
3938,D21,6,0,"Coagulated, Rancid"
3938,DI,6,9.7,No Criticism
3939,D10,6,8.4,Light Oxidized
3939,D14,6,8.8,Not clearly defined
3939,D17,6,9.2,No Criticism
3939,D21,6,8.1,Lacks Freshness
3939,DI,6,9.5,No Criticism
3940,D10,6,9.2,No Criticism
3940,D14,6,4.9,"Fruity Fermented, Rancid"
3940,DI,6,9.3,No Criticism
3946,D10,6,9.4,No Criticism
3946,D14,6,9.2,No Criticism
3946,D17,6,7.5,Lacks Freshness
3946,D21,6,7.2,Lipid Oxidized
3946,DI,6,8.5,Not clearly defined
3948,D10,6,9.5,No Criticism
3948,D14,6,2.3,"Bitter, Coagulated, Lacks Freshness"
3948,DI,6,9.5,No Criticism
3949,D10,6,9.5,No Criticism
3949,D14,6,2.5,"Bitter, Rancid"
3949,DI,6,9.3,Cooked
3950,D10,6,9.2,No Criticism
3950,D14,6,1.5,"Coagulated, Lacks Freshness"
3950,DI,6,9.4,Cooked
3955,D10,6,9.2,No Criticism
3955,D14,6,9.3,No Criticism
3955,D17,6,9.3,No Criticism
3955,D21,6,9,No Criticism
3955,DI,6,9.8,No Criticism
3956,D10,6,9.2,No Criticism
3956,D14,6,9.3,No Criticism
3956,D17,6,9.4,No Criticism
3956,D21,6,7.8,Not clearly defined
3956,DI,6,9.4,No Criticism
3957,D10,6,9.2,Milk Carton
3957,D14,6,8.6,"Lacks Freshness, Milk Carton"
3957,D17,6,8.9,Lacks Freshness
3957,D21,6,8.8,Lacks Freshness
3957,DI,6,9.3,No Criticism
3958,D10,6,9.4,No Criticism
3958,D14,6,9.3,No Criticism
3958,D17,6,9.2,No Criticism
3958,D21,6,7.6,Lacks Freshness
3958,DI,6,9.4,Flat
3960,D10,6,9.4,No Criticism
3960,D14,6,9,Flat
3960,D17,6,9.1,No Criticism
3960,D21,6,7.6,Not clearly defined
3960,DI,6,9.5,No Criticism
3961,D10,6,9.5,No Criticism
3961,D14,6,4.2,"Fruity Fermented, Rancid"
3961,D17,6,3.7,"Bitter, Fruity Fermented, Rancid"
3961,DI,6,9,No Criticism
3962,D10,6,9.1,Lacks Freshness
3962,D14,6,8.8,Not clearly defined
3962,D17,6,9.2,No Criticism
3962,D21,6,5.7,Not clearly defined
3962,DI,6,9.2,No Criticism
3964,D10,6,9.5,No Criticism
3964,D14,6,9.4,No Criticism
3964,D17,6,9.1,No Criticism
3964,D21,6,9.2,No Criticism
3964,DI,6,9.5,No Criticism
3965,D10,6,9.4,No Criticism
3965,D14,6,9.2,No Criticism
3965,D17,6,8.6,Not clearly defined
3965,D21,6,8.3,Lacks Freshness
3965,DI,6,9.2,Flat
3966,D10,6,8.4,Cooked
3966,D14,6,8.6,Not clearly defined
3966,D17,6,8.7,Lacks Freshness
3966,D21,6,8.4,Lacks Freshness
3966,DI,6,9.4,No Criticism
3967,D10,6,9.5,No Criticism
3967,D14,6,9.4,No Criticism
3967,D17,6,9.3,No Criticism
3967,D21,6,0,Coagulated
3967,DI,6,9.2,No Criticism
3969,D10,6,8.4,Not clearly defined
3969,D14,6,8.3,Rancid
3969,D17,6,9.2,No Criticism
3969,D21,6,8.5,Not clearly defined
3969,DI,6,9.3,No Criticism
3970,D10,6,9,No Criticism
3970,D14,6,9,No Criticism
3970,D17,6,8.8,Lacks Freshness
3970,D21,6,7.2,Lacks Freshness
3970,DI,6,7.4,Light Oxidized
3971,D10,6,8.4,Light Oxidized
3971,D14,6,8.8,Not clearly defined
3971,D17,6,7.6,Lacks Freshness
3971,D21,6,9.1,No Criticism
3971,DI,6,8.8,Light Oxidized
3972,D10,6,8.9,Lacks Freshness
3972,D14,6,9,Lacks Freshness
3972,D17,6,9.2,No Criticism
3972,D21,6,8.8,Lacks Freshness
3972,DI,6,9.2,No Criticism
3974,D10,6,9.3,No Criticism
3974,D14,6,5.5,Coagulated
3974,DI,6,9,No Criticism
3975,D10,6,8.8,Cooked
3975,D14,6,6.3,"Bitter, Cooked"
3975,DI,6,9.1,No Criticism
3976,D10,6,6.9,Light Oxidized
3976,D14,6,6.1,"Bitter, Lacks Freshness"
3976,DI,6,6.6,Light Oxidized
3978,D10,6,9.2,Cooked
3978,D14,6,8.9,Cooked
3978,D17,6,8.8,Cooked
3978,D21,6,7.8,Cooked
3978,DI,6,9.1,Cooked
3979,D10,6,9.2,No Criticism
3979,D14,6,9,No Criticism
3979,D17,6,9.1,No Criticism
3979,D21,6,9.2,Cooked
3979,DI,6,9.1,Cooked
3980,D10,6,8.2,Light Oxidized
3980,D14,6,8,Light Oxidized
3980,D17,6,7.5,Lacks Freshness
3980,D21,6,8.4,Lacks Freshness
3980,DI,6,9.4,No Criticism
3981,D10,6,9.2,No Criticism
3981,D14,6,9.1,Flat
3981,D17,6,9,Lacks Freshness
3981,D21,6,9.2,No Criticism
3981,DI,6,8.8,Cooked
3983,D10,6,9.3,No Criticism
3983,D14,6,9.2,No Criticism
3983,D17,6,8.6,Lacks Freshness
3983,D21,6,8.8,Lacks Freshness
3983,DI,6,9.3,No Criticism
3984,D10,6,9.3,No Criticism
3984,D14,6,9.2,No Criticism
3984,D17,6,0.5,"High Acid, Unclean"
3984,D21,6,7.9,Lacks Freshness
3984,DI,6,9.3,No Criticism
3985,D10,6,9,No Criticism
3985,D14,6,8.7,Not clearly defined
3985,D17,6,0,"Bitter, Coagulated"
3985,D21,6,8.8,Lacks Freshness
3985,DI,6,9.2,No Criticism
3986,D10,6,9.3,No Criticism
3986,D14,6,9.1,No Criticism
3986,D17,6,9.2,No Criticism
3986,D21,6,8.6,Lacks Freshness
3986,DI,6,9.4,No Criticism
3988,D10,6,4.7,Coagulated
3988,DI,6,9.3,Cooked
3989,D10,6,7.6,Not clearly defined
3989,D14,6,0,Coagulated
3989,DI,6,8.9,Cooked
3990,D10,6,7.7,Not clearly defined
3990,D14,6,0,Coagulated
3990,DI,6,9.2,No Criticism
3993,D10,4,9.4,No Criticism
3993,D14,5,9.2,No Criticism
3993,D17,5,8.3,Not clearly defined
3993,D21,5,8.7,Flat
3993,DI,5,9.5,No Criticism
3994,D10,4,9.2,No Criticism
3994,D14,5,9.3,No Criticism
3994,D17,5,9.3,No Criticism
3994,D21,5,8.3,Not clearly defined
3994,DI,5,9.2,No Criticism
3995,D10,4,9.2,No Criticism
3995,D14,5,9,Lacks Freshness
3995,D17,5,8.9,"Flat, Lacks Freshness"
3995,D21,5,8.7,Lacks Freshness
3995,DI,5,9.1,No Criticism
3996,D10,4,9.2,No Criticism
3996,D14,5,9.1,Lacks Freshness
3996,D17,5,9,No Criticism
3996,D21,5,8.2,Not clearly defined
3996,DI,5,9.4,No Criticism
3998,D10,5,9.1,No Criticism
3998,D14,5,9.4,No Criticism
3998,D17,5,7.5,Not clearly defined
3998,D21,5,9.2,No Criticism
3998,DI,5,9.4,No Criticism
3999,D10,5,9.3,No Criticism
3999,D14,5,9,No Criticism
3999,D17,5,8.8,Not clearly defined
3999,D21,5,7.3,Rancid
3999,DI,5,9.5,No Criticism
4000,D10,5,9.1,Lacks Freshness
4000,D14,5,8.8,Lacks Freshness
4000,D17,5,9.2,No Criticism
4000,D21,5,7.3,Not clearly defined
4000,DI,5,9.4,Flat
4003,D10,5,8.9,Not clearly defined
4003,D14,5,9.2,No Criticism
4003,D17,5,8.8,Not clearly defined
4003,D21,5,0,"Coagulated, Lacks Freshness, Rancid"
4003,DI,5,9.5,No Criticism
4004,D10,5,9.3,No Criticism
4004,D14,5,9,No Criticism
4004,D17,5,0,"Coagulated, Rancid"
4004,DI,5,9.6,No Criticism
4005,D10,5,9.3,No Criticism
4005,D14,5,8.6,Lacks Freshness
4005,D17,5,8.5,Lacks Freshness
4005,D21,5,4.5,"High Acid, Rancid"
4005,DI,5,9.3,No Criticism
4006,D10,5,8.8,Not clearly defined
4006,D14,5,0.9,"Coagulated, Rancid"
4006,D17,5,0,Coagulated
4006,DI,5,9.1,No Criticism
4011,D10,5,8.8,Not clearly defined
4011,D14,5,9.4,No Criticism
4011,D17,5,8.7,Not clearly defined
4011,D21,5,8.5,Not clearly defined
4011,DI,5,9.6,No Criticism
4012,D10,5,9.4,No Criticism
4012,D14,5,8.9,Not clearly defined
4012,D17,5,8.7,Not clearly defined
4012,D21,5,9.1,No Criticism
4012,DI,5,8.9,Not clearly defined
4013,D10,5,9.1,No Criticism
4013,D14,5,9,Lacks Freshness
4013,D17,5,8.5,Lacks Freshness
4013,D21,5,9.2,No Criticism
4013,DI,5,9.2,No Criticism
4014,D10,5,9.4,No Criticism
4014,D14,5,9,Lacks Freshness
4014,D17,5,9.2,No Criticism
4014,D21,5,9.2,No Criticism
4014,DI,5,9.5,No Criticism
4016,D10,4,6,"Light Oxidized, Lipid Oxidized, Milk Carton"
4016,D14,5,6,Light Oxidized
4016,D17,5,5.7,"Light Oxidized, Lipid Oxidized"
4016,DI,5,7.3,Light Oxidized
4019,D10,5,5.9,"Light Oxidized, Lipid Oxidized"
4019,DI,5,7.7,Light Oxidized
4037,D10,6,2.6,"High Acid, Rancid"
4037,DI,6,9.2,Flat
4038,D10,6,5.3,Fruity Fermented
4038,DI,6,9.2,No Criticism
4039,D10,6,8.9,Not clearly defined
4039,D14,6,0.5,"Coagulated, Unclean"
4039,DI,6,9.1,No Criticism
4044,D10,6,8.8,Cooked
4044,D14,6,2.9,"Coagulated, Lacks Freshness"
4044,DI,6,9,Cooked
4045,D10,6,8.8,Cooked
4045,D14,6,0.2,"Coagulated, Rancid"
4045,DI,6,9.1,Cooked
4046,D10,6,8.6,Lacks Freshness
4046,D14,6,8.7,Lacks Freshness
4046,DI,6,9,Cooked
4047,D10,6,8.8,Flat
4047,D14,6,1.8,"Coagulated, Lacks Freshness"
4047,DI,6,9,Cooked
4048,D14,6,5,Other: Band-aid
4048,DI,6,9.1,"Cocoa Sedimentation, Not sweet enough, Too thin, Weak Chocolate Flavor"
4049,D14,6,3.9,"Coagulated, Cooked, Lacks Freshness"
4049,DI,6,8.4,Cooked
4051,D10,6,8.6,"Cooked, Flat"
4051,D14,6,5.2,"Coagulated, Lacks Freshness"
4051,DI,6,8.8,Light Oxidized
4052,D10,6,9.3,No Criticism
4052,D14,6,2.3,"Coagulated, Rancid"
4052,DI,6,7.5,Light Oxidized
4053,D10,6,8.3,Flat
4053,D14,6,8.5,"Flat, Lacks Freshness"
4053,D17,5,8.8,Lacks Freshness
4053,D21,6,8.2,Lacks Freshness
4053,DI,6,8.8,Not clearly defined
4054,D10,6,8.6,Not clearly defined
4054,D14,6,7.8,"Lacks Freshness, Malty"
4054,D17,5,9,Lacks Freshness
4054,D21,6,8.7,Lacks Freshness
4054,DI,6,8.3,Light Oxidized
4059,D10,6,5.9,"Light Oxidized, Lipid Oxidized"
4059,DI,6,8.1,Cooked
4101,D10,6,8.7,Lacks Freshness
4101,D14,6,9.4,No Criticism
4101,D17,6,9.2,No Criticism
4101,D21,6,8.6,Lacks Freshness
4101,DI,6,9.7,No Criticism
4102,D10,6,6.7,"Fruity Fermented, Lacks Freshness"
4102,D14,6,0.1,Coagulated
4102,D17,6,9.1,Lacks Freshness
4102,D21,6,7.2,"Lacks Freshness, Malty"
4102,DI,6,9.7,No Criticism
4103,D10,6,8.9,Lacks Freshness
4103,D14,6,8.8,Lacks Freshness
4103,D17,6,7.6,"Cooked, Lacks Freshness"
4103,D21,6,5,Malty
4103,DI,6,9.1,No Criticism
4104,D10,6,9,Lacks Freshness
4104,D14,6,8.8,Lacks Freshness
4104,D17,6,8.9,Not clearly defined
4104,D21,6,6.7,Not clearly defined
4104,DI,6,9.6,No Criticism
4110,D10,6,9,No Criticism
4110,D14,6,5.6,Lipid Oxidized
4110,D17,6,7.7,Not clearly defined
4110,D21,6,2.9,Lipid Oxidized
4110,DI,6,8.2,Cooked
4113,D10,6,6.5,"Lipid Oxidized, Milk Carton"
4113,D14,6,4,"Lacks Freshness, Lipid Oxidized"
4113,D17,6,7.2,"Cooked, Lipid Oxidized"
4113,D21,6,4.7,Lipid Oxidized
4113,DI,6,7.4,"Cooked, Lipid Oxidized"
4114,D10,6,8.7,"Cooked, Lacks Freshness"
4114,D14,6,8.4,Cooked
4114,D17,6,7.8,Lacks Freshness
4114,D21,6,4.3,Unclean
4114,DI,6,8.7,Cooked
4116,D10,6,9.2,Cooked
4116,D14,6,9,Lacks Freshness
4116,DI,6,8.9,"Cooked, Flat"
4117,D10,6,9.4,No Criticism
4117,D14,6,8.4,Lacks Freshness
4117,DI,6,9.1,"Cooked, Flat"
4118,D10,6,8.4,Lacks Freshness
4118,D14,6,0.1,"Bitter, Coagulated"
4118,DI,6,9,Cooked
4121,D10,6,7.5,Rancid
4121,D14,6,8.4,Cooked
4121,DI,5,8.9,Not clearly defined
4122,D10,6,8,Rancid
4122,D14,6,7.5,Not clearly defined
4122,DI,5,9.1,No Criticism
4123,D10,6,9.2,No Criticism
4123,D14,6,8.3,Lacks Freshness
4123,DI,5,8.7,"Cooked, Flat"
4128,D10,6,8.9,Not clearly defined
4128,D14,6,7.7,Rancid
4128,D17,6,8.4,Not clearly defined
4128,D21,6,7.3,"Cooked, Lacks Freshness"
4128,DI,5,9.2,No Criticism
4129,D10,6,9.1,No Criticism
4129,D14,6,8.6,Not clearly defined
4129,D17,6,8.2,Not clearly defined
4129,D21,6,0.2,"Coagulated, Rancid"
4129,DI,5,9.2,No Criticism
4130,D10,6,7.1,Not clearly defined
4130,D14,6,8.7,Not clearly defined
4130,D17,6,6.2,Cooked
4130,D21,6,4.2,Fruity Fermented
4130,DI,5,9.3,No Criticism
4131,D10,6,9,No Criticism
4131,D14,6,7.8,Not clearly defined
4131,D17,6,8.7,Cooked
4131,D21,6,6.9,Not clearly defined
4131,DI,5,9.4,No Criticism
4132,D14,6,8.9,Not clearly defined
4132,DI,6,9.1,No Criticism
4134,D14,6,0.2,"Bitter, Coagulated"
4140,D10,6,9.4,No Criticism
4140,D14,6,8.9,Not clearly defined
4140,D17,6,8.1,Flat
4140,D21,6,0.8,"Coagulated, Rancid, Unclean"
4140,DI,5,9.2,No Criticism
4141,D10,6,9.4,No Criticism
4141,D14,6,0.9,"Bitter, Coagulated"
4141,DI,5,9.4,No Criticism
4142,D10,6,8.8,Not clearly defined
4142,D14,6,8.8,Not clearly defined
4142,D17,6,6.8,Lacks Freshness
4142,D21,6,7.7,Lacks Freshness
4142,DI,5,9.3,No Criticism
4146,D10,6,7.7,"Lacks Freshness, Rancid"
4146,D14,6,6.2,Coagulated
4146,D17,6,5.1,"Coagulated, Other: Floating chunks of fat"
4146,DI,6,8.3,Light Oxidized
4147,D10,6,9.4,No Criticism
4147,D14,6,7.7,Lacks Freshness
4147,D17,6,7.6,Rancid
4147,D21,5,4.1,Rancid
4147,DI,6,7.8,"Cooked, Lacks Freshness, Rancid"
4148,D10,6,9.2,Cooked
4148,D14,6,8.8,Not clearly defined
4148,D17,6,8.2,Lacks Freshness
4148,D21,5,7.8,Lacks Freshness
4148,DI,6,9.2,No Criticism
4158,D10,6,6.8,Lipid Oxidized
4158,D14,6,7.1,"Lipid Oxidized, Milk Carton"
4158,D17,5,6.3,Lipid Oxidized
4158,D21,5,6.6,Lipid Oxidized
4158,DI,6,7.3,Lipid Oxidized
4161,D10,6,9.3,No Criticism
4161,D14,6,8.3,Lacks Freshness
4161,DI,6,9,No Criticism
4162,D10,6,9.2,No Criticism
4162,D14,6,8.9,Lacks Freshness
4162,DI,6,9.1,Cooked
4163,D10,6,8.8,Lacks Freshness
4163,D14,6,7.8,Lacks Freshness
4163,DI,6,8.8,Not clearly defined
4166,D10,6,9.3,No Criticism
4166,D14,6,8,Lacks Freshness
4166,D17,6,8.4,Not clearly defined
4166,D21,6,7.4,Rancid
4166,DI,6,9.6,No Criticism
4167,D10,6,9.3,No Criticism
4167,D14,6,9.4,No Criticism
4167,D17,6,8.4,Not clearly defined
4167,D21,6,7.1,Rancid
4167,DI,5,8.5,Not clearly defined
4168,D10,6,7.6,"Light Oxidized, Milk Carton"
4168,D14,6,8,"Lacks Freshness, Milk Carton"
4168,D17,6,7.8,Not clearly defined
4168,D21,6,7.4,Lacks Freshness
4168,DI,6,9.6,No Criticism
4169,D10,6,9.5,No Criticism
4169,D14,6,9.5,No Criticism
4169,D17,6,8.6,Not clearly defined
4169,D21,6,9.3,Lacks Freshness
4169,DI,6,9.8,No Criticism
4170,D14,6,7.6,Not clearly defined
4170,DI,6,8.5,"Cocoa Sedimentation, Too light"
4171,D14,6,7.3,Milk Carton
4171,DI,6,8,"Light Oxidized, Milk Carton"
4176,D14,6,5,Not clearly defined
4176,DI,6,8.2,Milk Carton
4178,D10,6,9.6,No Criticism
4178,D14,6,9.1,Lacks Freshness
4178,D17,6,8.7,Not clearly defined
4178,D21,6,8.4,Not clearly defined
4178,DI,6,9.6,No Criticism
4179,D10,6,9.4,No Criticism
4179,D14,6,9.3,No Criticism
4179,D17,6,7.9,Not clearly defined
4179,D21,6,7,Rancid
4179,DI,6,9.3,No Criticism
4180,D10,6,8.7,Not clearly defined
4180,D14,6,9.3,No Criticism
4180,D17,6,7.6,Not clearly defined
4180,D21,6,6.6,Lacks Freshness
4180,DI,6,9.1,No Criticism
4181,D10,6,9.6,No Criticism
4181,D14,6,9.2,No Criticism
4181,D17,6,6.6,Not clearly defined
4181,D21,6,7.2,Not clearly defined
4181,DI,6,9.4,No Criticism
4182,D14,6,6.4,Not clearly defined
4182,DI,6,8.8,"Cocoa Sedimentation, Too light"
